id_run,Network1,Coalition1,Pathos1,Team1,Exchange1,Allocentrism1,Agency1,SA1,Intentionality1,Logos1,Might1,Ethos1,Network3,Coalition3,Pathos3,Team3,Exchange3,Allocentrism3,Agency3,SA3,Intentionality3,Logos3,Might3,Ethos3
107,85.5,21.7,66.6,52.2,72.2,75.5,37.7,82.2,85.5,73.3,67.4,50,41.1,40.6,58.8,47.7,8.8,35.5,23.3,36.6,34.4,44.4,61.7,60
20,41.1,40.6,58.8,47.7,8.8,35.5,23.3,36.6,34.4,44.4,61.7,60,3.3,21.9,12.2,3.3,68.8,6.6,13.3,0,27.7,5.5,15.7,26.6
8,33.3,21,24.4,61.1,30,25.5,93.3,35.5,48.8,35.5,16.8,16.6,44.4,32.2,13.3,14.4,34.4,22.2,43.3,23.3,15.5,6.6,16.8,8.8
30,32.2,9.2,86.6,95.5,57.7,48.8,36.6,95.5,92.2,70,6.7,57.7,7.7,9.2,16.6,7.7,35.5,15.5,2.2,34.4,20,11.1,21.3,20
85,3.3,21.9,12.2,3.3,68.8,6.6,13.3,0,27.7,5.5,15.7,26.6,65.5,39.5,34.4,31.1,45.5,41.1,51.1,41.1,57.7,21.1,68.5,32.2
102,44.4,32.2,13.3,14.4,34.4,22.2,43.3,23.3,15.5,6.6,16.8,8.8,36.6,64.8,45.5,26.6,63.3,16.6,31.1,31.1,42.2,76.6,49.4,61.1
78,7.7,9.2,16.6,7.7,35.5,15.5,2.2,34.4,20,11.1,21.3,20,88.8,54.4,42.2,43.3,82.2,38.8,24.4,40,62.2,36.6,58.4,68.8
1,65.5,39.5,34.4,31.1,45.5,41.1,51.1,41.1,57.7,21.1,68.5,32.2,90,3.2,18.8,96.6,12.2,80,47.7,73.3,22.2,81.1,52.8,43.3
57,36.6,64.8,45.5,26.6,63.3,16.6,31.1,31.1,42.2,76.6,49.4,61.1,22.2,21.9,41.1,5.5,48.8,53.3,40,25.5,41.1,10,30.3,40
72,88.8,54.4,42.2,43.3,82.2,38.8,24.4,40,62.2,36.6,58.4,68.8,97.7,21.5,97.7,78.8,27.7,45.5,41.1,87.7,47.7,88.8,77.5,42.2
29,90,3.2,18.8,96.6,12.2,80,47.7,73.3,22.2,81.1,52.8,43.3,21.1,72.3,92.2,53.3,75.5,33.3,86.6,20,80,80,83.1,80
11,22.2,21.9,41.1,5.5,48.8,53.3,40,25.5,41.1,10,30.3,40,57.7,89.1,77.7,34.4,64.4,56.6,57.7,15.5,40,87.7,87.6,97.7
37,97.7,21.5,97.7,78.8,27.7,45.5,41.1,87.7,47.7,88.8,77.5,42.2,10,9.4,68.8,15.5,83.3,0,1.1,26.6,100,38.8,3.3,70
64,21.1,72.3,92.2,53.3,75.5,33.3,86.6,20,80,80,83.1,80,84.4,50.6,52.2,10,32.2,41.1,70,4.4,18.8,63.3,89.8,25.5
17,57.7,89.1,77.7,34.4,64.4,56.6,57.7,15.5,40,87.7,87.6,97.7,20,38.9,55.5,26.6,50,78.8,31.1,48.8,60,50,59.5,82.2
141,10,9.4,68.8,15.5,83.3,0,1.1,26.6,100,38.8,3.3,70,44.4,40.2,38.8,25.5,26.6,45.5,28.8,7.7,52.2,17.7,41.5,36.6
9,84.4,50.6,52.2,10,32.2,41.1,70,4.4,18.8,63.3,89.8,25.5,27.7,36.6,61.1,41.1,66.6,63.3,21.1,46.6,43.3,20,35.9,46.6
132,20,38.9,55.5,26.6,50,78.8,31.1,48.8,60,50,59.5,82.2,50,22.2,52.2,75.5,60,70,57.7,90,24.4,95.5,25.8,44.4
61,44.4,40.2,38.8,25.5,26.6,45.5,28.8,7.7,52.2,17.7,41.5,36.6,92.2,68,68.8,26.6,61.1,96.6,46.6,17.7,94.4,57.7,82,77.7
111,27.7,36.6,61.1,41.1,66.6,63.3,21.1,46.6,43.3,20,35.9,46.6,63.3,15.9,47.7,20,31.1,72.2,90,71.1,33.3,47.7,43.8,7.7
94,50,22.2,52.2,75.5,60,70,57.7,90,24.4,95.5,25.8,44.4,24.4,59.4,37.7,15.5,35.5,7.7,26.6,52.2,83.3,50,39.3,58.8
128,92.2,68,68.8,26.6,61.1,96.6,46.6,17.7,94.4,57.7,82,77.7,47.7,21,31.1,65.5,47.7,62.2,75.5,12.2,17.7,3.3,64,18.8
108,63.3,15.9,47.7,20,31.1,72.2,90,71.1,33.3,47.7,43.8,7.7,54.4,13.9,14.4,57.7,28.8,32.2,64.4,67.7,4.4,46.6,29.2,10
148,24.4,59.4,37.7,15.5,35.5,7.7,26.6,52.2,83.3,50,39.3,58.8,85.5,21.7,66.6,52.2,72.2,75.5,37.7,82.2,85.5,73.3,67.4,50
51,47.7,21,31.1,65.5,47.7,62.2,75.5,12.2,17.7,3.3,64,18.8,41.1,40.6,58.8,47.7,8.8,35.5,23.3,36.6,34.4,44.4,61.7,60
13,54.4,13.9,14.4,57.7,28.8,32.2,64.4,67.7,4.4,46.6,29.2,10,33.3,21,24.4,61.1,30,25.5,93.3,35.5,48.8,35.5,16.8,16.6
25,18.8,49.2,73.3,80,84.4,30,17.7,50,86.6,57.7,51.6,54.4,32.2,9.2,86.6,95.5,57.7,48.8,36.6,95.5,92.2,70,6.7,57.7
35,38.8,71.4,78.8,21.1,88.8,20,5.5,14.4,71.1,45.5,56.1,67.7,3.3,21.9,12.2,3.3,68.8,6.6,13.3,0,27.7,5.5,15.7,26.6
120,31.1,35.6,63.3,51.1,52.2,18.8,57.7,56.6,32.2,42.2,69.6,70,44.4,32.2,13.3,14.4,34.4,22.2,43.3,23.3,15.5,6.6,16.8,8.8
149,61.1,9.5,7.7,44.4,3.3,83.3,82.2,58.8,13.3,18.8,12.3,2.2,7.7,9.2,16.6,7.7,35.5,15.5,2.2,34.4,20,11.1,21.3,20
116,13.3,15.3,10,10,32.2,2.2,4.4,11.1,63.3,68.8,11.2,81.1,65.5,39.5,34.4,31.1,45.5,41.1,51.1,41.1,57.7,21.1,68.5,32.2
36,7.7,19.7,87.7,70,86.6,7.7,15.5,23.3,52.2,67.7,22.4,51.1,36.6,64.8,45.5,26.6,63.3,16.6,31.1,31.1,42.2,76.6,49.4,61.1
126,92.2,32.2,27.7,40,42.2,87.7,72.2,53.3,7.7,32.2,84.2,37.7,88.8,54.4,42.2,43.3,82.2,38.8,24.4,40,62.2,36.6,58.4,68.8
41,60,89.8,81.1,64.4,80,73.3,56.6,60,75.5,93.3,71.9,90,90,3.2,18.8,96.6,12.2,80,47.7,73.3,22.2,81.1,52.8,43.3
156,24.4,12.8,57.7,87.7,7.7,74.4,65.5,96.6,82.2,27.7,4.4,38.8,22.2,21.9,41.1,5.5,48.8,53.3,40,25.5,41.1,10,30.3,40
39,68.8,72.3,91.1,57.7,95.5,17.7,30,86.6,95.5,91.1,86.5,90,97.7,21.5,97.7,78.8,27.7,45.5,41.1,87.7,47.7,88.8,77.5,42.2
34,57.7,14,44.4,86.6,46.6,27.7,12.2,93.3,70,57.7,14.6,41.1,21.1,72.3,92.2,53.3,75.5,33.3,86.6,20,80,80,83.1,80
97,72.2,56,28.8,33.3,40,68.8,71.1,21.1,38.8,26.6,55,30,57.7,89.1,77.7,34.4,64.4,56.6,57.7,15.5,40,87.7,87.6,97.7
44,24.4,12.8,23.3,15.5,2.2,97.7,88.8,75.5,2.2,21.1,25.8,12.2,10,9.4,68.8,15.5,83.3,0,1.1,26.6,100,38.8,3.3,70
133,80,86.4,96.6,97.7,96.6,91.1,92.2,94.4,65.5,88.8,92.1,95.5,84.4,50.6,52.2,10,32.2,41.1,70,4.4,18.8,63.3,89.8,25.5
90,96.6,59.4,100,93.3,98.8,100,91.1,98.8,92.2,100,89.8,98.8,20,38.9,55.5,26.6,50,78.8,31.1,48.8,60,50,59.5,82.2
155,2.2,3.2,6.6,71.1,5.5,4.4,3.3,31.1,55.5,6.6,0,14.4,44.4,40.2,38.8,25.5,26.6,45.5,28.8,7.7,52.2,17.7,41.5,36.6
118,52.2,56.7,30,65.5,38.8,13.3,16.6,6.6,64.4,86.6,52.8,83.3,27.7,36.6,61.1,41.1,66.6,63.3,21.1,46.6,43.3,20,35.9,46.6
101,82.2,73.3,48.8,73.3,91.1,94.4,93.3,81.1,68.8,98.8,97.7,84.4,50,22.2,52.2,75.5,60,70,57.7,90,24.4,95.5,25.8,44.4
124,34.4,70.5,73.3,7.7,90,36.6,17.7,72.2,86.6,50,59.5,77.7,92.2,68,68.8,26.6,61.1,96.6,46.6,17.7,94.4,57.7,82,77.7
27,22.2,32.2,76.6,74.4,43.3,65.5,84.4,88.8,56.6,71.1,75.2,45.5,56.6,47.3,48.8,91.1,51.1,14.4,67.7,61.1,52.2,53.3,13.4,64.4
54,78.8,56.7,11.1,38.8,22.2,44.4,98.8,70,12.2,47.7,78.6,24.4,73.3,16.2,46.6,85.5,55.5,45.5,57.7,91.1,88.8,30,41.5,55.5
121,5.5,15.6,43.3,61.1,76.6,11.1,25.5,85.5,25.5,56.6,16.8,46.6,74.4,55.5,93.3,84.4,93.3,84.4,97.7,74.4,96.6,84.4,93.2,85.5
42,15.5,15.9,17.7,42.2,41.1,22.2,8.8,78.8,5.5,12.2,7.8,23.3,10,3.2,34.4,44.4,12.2,5.5,10,92.2,43.3,38.8,1.1,33.3
147,16.6,19.3,21.1,68.8,24.4,40,22.2,62.2,37.7,64.4,40.4,46.6,6.6,2.8,32.2,13.3,5.5,1.1,7.7,1.1,8.8,2.2,2.2,6.6
136,100,87,94.4,55.5,92.2,88.8,78.8,63.3,71.1,96.6,96.6,94.4,53.3,47.3,83.3,90,53.3,57.7,74.4,80,58.8,66.6,79.7,56.6
115,4.4,16.4,40,6.6,66.6,12.2,38.8,30,50,16.6,20.2,21.1,42.2,13.8,22.2,81.1,25.5,22.2,63.3,75.5,36.6,33.3,23.5,35.5
31,40,14.2,60,83.3,70,61.1,42.2,66.6,46.6,72.2,71.9,66.6,80,16.5,88.8,94.4,78.8,67.7,35.5,53.3,65.5,57.7,50.5,65.5
23,82.2,15.9,3.3,37.7,23.3,94.4,100,18.8,14.4,15.5,48.3,4.4,87.7,91.6,98.8,88.8,98.8,98.8,93.3,100,61.1,94.4,100,90
117,44.4,15.9,2.2,1.1,18.8,37.7,33.3,7.7,0,3.3,31.4,5.5,75.5,32.8,26.6,44.4,16.6,81.1,44.4,47.7,35.5,41.1,38.2,21.1
146,97.7,93.5,95.5,65.5,97.7,93.3,65.5,65.5,97.7,92.2,84.2,96.6,67.7,18,33.3,50,17.7,64.4,48.8,44.4,21.1,28.8,5.6,13.3
12,14.4,71.4,71.1,21.1,74.4,34.4,33.3,27.7,23.3,30,31.4,51.1,51.1,15.9,63.3,92.2,18.8,88.8,54.4,67.7,31.1,81.1,31.4,31.1
19,75.5,72.7,80,35.5,85.5,71.1,11.1,38.8,73.3,77.7,66.2,100,48.8,16.3,36.6,72.2,11.1,21.1,14.4,55.5,45.5,43.3,23.5,27.7
135,91.1,85.6,63.3,47.7,65.5,60,82.2,33.3,91.1,37.7,70.7,73.3,63.3,67.7,85.5,76.6,77.7,58.8,57.7,83.3,84.4,97.7,95.5,73.3
50,71.1,87,15.5,1.1,18.8,77.7,78.8,3.3,15.5,12.2,94.3,28.8,86.6,55.5,67.7,60,81.1,86.6,85.5,84.4,51.1,65.5,62.9,76.6
