id_run,Agency1a,Allocentrism1a,Coalition1a,Ethos1a,Exchange1a,Intentionality1a,Logos1a,Might1a,Network1a,Pathos1a,SA1a,Team1a,Agency3a,Allocentrism3a,Coalition3a,Ethos3a,Exchange3a,Intentionality3a,Logos3a,Might3a,Network3a,Pathos3a,SA3a,Team3a,Agency3,Allocentrism3,Coalition3,Ethos3,Exchange3,Intentionality3,Logos3,Might3,Network3,Pathos3,SA3,Team3,Agency1,Allocentrism1,Coalition1,Ethos1,Exchange1,Intentionality1,Logos1,Might1,Network1,Pathos1,SA1,Team1
1,3.4,2.833333,2.166667,2.5,1.833333,2.666667,3.8,1.833333,3.166667,2.666667,3,2.4,3.35,3.236111,2.861111,2.723404,2.763889,3.166667,3.283333,2.611111,3.028169,2.777778,3.152778,2.733333,66,64,39,25,55,25,46,38,27,34,65,42,69,24,12,34,1,14,80,10,52,37,47,22
2,3.2,3.166667,2.833333,2.25,3,3.333333,3.6,2.833333,3.833333,2.666667,3.166667,2.2,3.133333,2.87037,2.666667,2.916667,2.574074,3.5,3.4,2.722222,3.166667,2.62963,3,2.333333,32,14,10,49,25,85,61,48,43,15,32,5,54,50,51,19,71,67,64,74,89,37,61,10
3,2.2,2.333333,2,1.5,2.5,2.166667,2.6,1.333333,3.166667,1.833333,2.666667,2,3.204082,3.186441,2.762712,2.641026,2.59322,3.237288,3.44898,2.542373,3.068965,2.779661,3.169492,2.55102,46,57,22,16,27,38,70,28,35,35,68,21,2,3,3,0,26,2,6,1,52,0,19,5
4,2.8,3,3.166667,3.25,2.666667,2.833333,3.2,3,3.166667,3,3.333333,2.6,3.033333,3.25,3.111111,2.958333,2.638889,3.25,3.266667,3.166667,3.388889,3.027778,3.083333,3.1,20,65,79,55,35,39,40,94,75,72,50,82,23,33,79,81,39,23,38,82,52,64,75,34
5,3,3,2.8,3,3,3.4,2.75,3,4,2.2,2.4,2.5,2.9,2.734043,3.010753,3.16129,2.571429,3.129032,2.721519,2.648936,3.595745,2.606383,2.763441,2.769231,10,4,65,75,24,22,3,40,93,13,8,45,37,33,51,68,71,76,14,82,95,12,10,33
6,2.6,2.666667,2.666667,2.75,2.666667,2.833333,2.6,2.5,2.333333,2.666667,2.666667,2.4,2.454545,2.848485,2.666667,2.636364,2.469697,2.787879,2.836364,2.515152,2.727273,2.666667,2.757576,2.381818,1,12,10,15,9,1,4,24,8,20,7,8,13,13,39,53,39,23,6,53,10,37,19,22
7,2.8,2.5,3.5,2,2.5,2.666667,3,2.833333,3.5,2.833333,2.666667,2.8,3.08,3.05,3.033333,3.225,2.866667,3.283333,2.98,2.932203,3.516667,3.233333,3.116667,2.94,28,36,67,82,72,45,12,77,87,93,58,65,23,7,90,10,26,14,23,74,72,51,19,47
8,2.8,3.666667,3.333333,3,3.166667,3.666667,3.2,3.166667,3.666667,3.166667,3.833333,3.2,2.933333,2.944444,2.833333,2.791667,2.527778,3.111111,2.866667,2.777778,3.277778,2.555556,2.916667,2.566667,13,22,34,29,18,20,5,55,56,7,18,22,23,90,85,68,80,85,38,89,81,73,97,75
9,2.8,3,2.833333,3,3,3.166667,3.6,2.833333,3.166667,3.333333,3.333333,3,3.175,3.5,3.244444,3.25,3.106383,3.234043,3.525,3.066667,3.425532,3.340425,3.479167,3.35,42,94,91,83,92,37,83,88,80,97,99,96,23,33,51,68,71,54,64,74,52,81,75,65
10,4,4,4,4,3.666667,4,4,2.666667,4,3.833333,3.833333,4,3.2,3.1,2.883333,2.897436,2.65,3.316667,3.16,2.633333,2.95,2.7,3.1,2.62,44,41,43,47,38,50,27,40,20,23,54,29,97,98,98,98,96,98,93,62,95,95,97,98
11,3.8,2.333333,2.333333,3.25,2.166667,3.833333,3.8,2.833333,2,3.166667,3.5,2.6,3.3,3,3.041667,3.34375,2.895833,3.625,3.589744,3.020833,2.708333,3.166667,3.208333,2.725,59,28,68,90,77,98,90,86,7,86,75,41,89,3,18,81,8,93,80,74,2,73,86,34
12,3.6,3,2.5,3.25,2.166667,3.833333,4,2.333333,2,3,3.333333,3.2,3.133333,3.194444,3.083333,3.083333,3.194444,3.166667,2.966667,2.916667,3.194444,3.027778,3.055556,3.1,32,58,73,68,95,25,11,73,48,72,45,82,81,33,29,81,8,93,93,39,2,64,75,75
13,3.4,2.666667,2.833333,2,2.666667,3.333333,3,2.833333,2.666667,2,3.166667,2.6,3.272727,2.954545,2.772727,2.909091,2.515152,3.454545,3.381818,2.9375,3.15625,2.69697,3.045455,2.351852,55,23,23,48,16,78,60,78,43,23,42,7,69,13,51,10,39,67,23,74,26,1,61,34
14,3,3.333333,3,2.5,3.166667,3.166667,3.6,1.833333,3.333333,3,3.166667,2.4,3.06,3.1,2.932203,2.675,2.65,3.033333,3.32,2.5,3.233333,3,3.05,2.916667,24,41,51,20,38,12,50,20,50,69,44,63,37,66,65,34,80,54,64,10,64,64,61,22
15,2.8,2.5,2.333333,2.25,2.333333,2.666667,3.4,1.833333,2.166667,2.666667,3,2.2,3.2,2.75,2.864407,3.25641,2.542373,3.266667,3.44898,2.932203,3.133333,2.633333,2.95,2.346939,44,5,40,84,20,43,70,77,40,15,24,6,23,7,18,19,14,14,50,10,5,37,47,10
16,2.4,2.833333,2.5,1.75,2.166667,2.5,2.6,1.5,2.833333,2.5,3,2.4,3.533333,3.37037,3,2.861111,2.777778,3.277778,3.288889,2.296296,3.407408,2.925926,3.222222,2.955555,91,82,61,42,59,45,47,5,77,56,77,67,5,24,29,3,8,6,6,3,33,23,47,22
17,3.8,3.333333,3.666667,2.75,3.666667,3.666667,3.6,3.666667,3.5,3.833333,3.666667,3.8,3.433333,3.5,3.277778,2.916667,3.333333,3.428571,3.2,3.085714,3.583333,2.972222,3.333333,3.2,77,94,93,49,98,75,31,89,91,63,93,90,89,66,93,53,96,85,64,95,72,95,92,97
18,2.4,1.833333,2.666667,2,2,2,3.8,1.833333,2.166667,2.833333,2.333333,2.4,3.159091,2.462963,2.396226,3.027778,2.115385,3.314815,3.466667,3.150943,2.686275,2.64151,2.648148,2.044445,38,0,1,61,0,50,74,94,6,18,3,0,5,0,39,10,3,0,80,10,5,51,2,22
