id_run,Agency1a,Allocentrism1a,Coalition1a,Ethos1a,Exchange1a,Intentionality1a,Logos1a,Might1a,Network1a,Pathos1a,SA1a,Team1a,Agency3a,Allocentrism3a,Coalition3a,Ethos3a,Exchange3a,Intentionality3a,Logos3a,Might3a,Network3a,Pathos3a,SA3a,Team3a,Agency3,Allocentrism3,Coalition3,Ethos3,Exchange3,Intentionality3,Logos3,Might3,Network3,Pathos3,SA3,Team3,Agency1,Allocentrism1,Coalition1,Ethos1,Exchange1,Intentionality1,Logos1,Might1,Network1,Pathos1,SA1,Team1
1,3.4,2.833333,2.166667,2.5,1.833333,2.666667,3.8,1.833333,3.166667,2.666667,3,2.4,3.35,3.236111,2.861111,2.723404,2.763889,3.166667,3.283333,2.611111,3.028169,2.777778,3.152778,2.733333,66,65,39,21,52,24,43,34,27,31,63,33,68,23,10,40,2,15,78,10,56,31,50,23
2,3.2,3.166667,2.833333,2.25,3,3.333333,3.6,2.833333,3.833333,2.666667,3.166667,2.2,3.133333,2.87037,2.666667,2.916667,2.574074,3.5,3.4,2.722222,3.166667,2.62963,3,2.333333,32,12,6,49,19,84,61,48,44,8,31,3,55,54,53,20,71,68,67,73,92,31,63,12
3,2.2,2.333333,2,1.5,2.5,2.166667,2.6,1.333333,3.166667,1.833333,2.666667,2,3.204082,3.186441,2.762712,2.641026,2.59322,3.237288,3.44898,2.542373,3.068965,2.779661,3.169492,2.55102,43,56,19,13,21,35,71,27,33,32,66,14,2,4,4,0,28,2,9,1,56,0,20,4
4,2.8,3,3.166667,3.25,2.666667,2.833333,3.2,3,3.166667,3,3.333333,2.6,3.033333,3.25,3.111111,2.958333,2.638889,3.25,3.266667,3.166667,3.388889,3.027778,3.083333,3.1,20,66,77,52,27,37,39,93,76,70,48,82,23,32,76,82,39,22,42,81,56,63,76,35
5,3,3,2.8,3,3,3.4,2.75,3,4,2.2,2.4,2.5,2.9,2.734043,3.010753,3.16129,2.571429,3.129032,2.721519,2.648936,3.595745,2.606383,2.763441,2.769231,11,3,63,75,18,20,3,39,95,7,7,38,40,32,52,70,71,79,16,81,96,10,8,35
6,2.6,2.666667,2.666667,2.75,2.666667,2.833333,2.6,2.5,2.333333,2.666667,2.666667,2.4,2.454545,2.848485,2.666667,2.636364,2.469697,2.787879,2.836364,2.515152,2.727273,2.666667,2.757576,2.381818,0,10,6,13,10,2,3,24,6,14,7,7,14,12,41,60,39,22,9,54,14,31,20,23
7,2.8,2.5,3.5,2,2.5,2.666667,3,2.833333,3.5,2.833333,2.666667,2.8,3.08,3.05,3.033333,3.225,2.866667,3.283333,2.98,2.932203,3.516667,3.233333,3.116667,2.94,26,32,66,84,71,46,11,74,88,90,58,62,23,9,91,8,28,15,26,73,78,53,20,47
8,2.8,3.666667,3.333333,3,3.166667,3.666667,3.2,3.166667,3.666667,3.166667,3.833333,3.2,2.933333,2.944444,2.833333,2.791667,2.527778,3.111111,2.866667,2.777778,3.277778,2.555556,2.916667,2.566667,14,20,32,29,14,16,4,51,59,2,19,15,23,92,85,70,80,87,42,89,85,73,97,74
9,2.8,3,2.833333,3,3,3.166667,3.6,2.833333,3.166667,3.333333,3.333333,3,3.175,3.5,3.244444,3.25,3.106383,3.234043,3.525,3.066667,3.425532,3.340425,3.479167,3.35,38,94,90,85,92,35,84,86,81,98,99,94,23,32,53,70,71,55,67,73,56,84,76,63
10,4,4,4,4,3.666667,4,4,2.666667,4,3.833333,3.833333,4,3.2,3.1,2.883333,2.897436,2.65,3.316667,3.16,2.633333,2.95,2.7,3.1,2.62,39,38,43,46,30,50,26,36,19,20,53,21,98,98,100,98,98,99,93,62,96,97,97,100
